Table 6,,,,,,,,,,,,,,,,,,0
Child Care and Development Fund,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Average Monthly Percentages of Children Served in All Types of Care (FY 2012),,,,,,,,,,,,,,,,,,
State,Total % of Children,Licensed or Regulated Providers,,,,Providers Legally Operating without Regulation,,,,,,,Invalid/ Not Reported,,,,,
Minnesota,100%,0%,30%,0%,51%,2%,2%,4%,3%,0%,0%,7%,0%,,,,,
Mississippi,100%,0%,0%,1%,81%,1%,1%,7%,8%,0%,0%,0%,1%,,,,,
Missouri,100%,0%,8%,2%,59%,2%,1%,8%,10%,0%,0%,9%,0%,,,,,
Montana,100%,0%,8%,42%,39%,1%,1%,4%,4%,0%,0%,0%,0%,,,,,
Nebraska,100%,0%,15%,7%,66%,0%,0%,2%,9%,0%,0%,0%,0%,,,,,
Nevada,100%,0%,4%,1%,62%,4%,4%,6%,3%,0%,0%,16%,0%,,,,,
New Hampshire,100%,0%,6%,0%,82%,1%,1%,3%,5%,0%,0%,1%,1%,,,,,
New Jersey,100%,0%,8%,0%,86%,1%,1%,1%,2%,0%,0%,0%,2%,,,,,
New Mexico,100%,0%,2%,6%,74%,2%,1%,10%,5%,0%,0%,0%,0%,,,,,
New York,100%,0%,9%,21%,34%,7%,6%,7%,7%,0%,0%,8%,0%,,,,,
North Carolina,100%,0%,13%,0%,85%,0%,0%,0%,0%,0%,0%,0%,1%,,,,,
North Dakota,100%,0%,6%,34%,28%,0%,0%,13%,19%,0%,0%,0%,0%,,,,,
Northern Mariana Islands,100%,0%,0%,0%,75%,0%,0%,3%,0%,0%,0%,0%,21%,,,,,
Ohio,100%,0%,20%,3%,77%,0%,0%,0%,0%,0%,0%,0%,1%,,,,,
Oklahoma,100%,0%,16%,0%,84%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,
Oregon,100%,0%,20%,9%,21%,13%,8%,8%,19%,0%,1%,1%,0%,,,,,
Pennsylvania,100%,0%,6%,4%,69%,0%,0%,10%,8%,0%,0%,0%,2%,,,,,
Puerto Rico,100%,0%,2%,0%,58%,0%,0%,29%,9%,0%,0%,0%,1%,,,,,
Rhode Island,100%,0%,27%,0%,71%,0%,0%,1%,0%,0%,0%,0%,0%,,,,,
South Carolina,100%,0%,5%,2%,74%,0%,1%,3%,5%,0%,0%,3%,7%,,,,,
South Dakota,100%,0%,29%,3%,52%,0%,1%,10%,4%,0%,0%,0%,0%,,,,,
Tennessee,100%,0%,7%,4%,79%,0%,0%,2%,7%,0%,0%,0%,0%,,,,,
Texas,100%,0%,2%,2%,94%,0%,0%,1%,0%,0%,0%,0%,0%,,,,,
Utah,100%,4%,13%,3%,49%,3%,0%,11%,0%,12%,0%,0%,4%,,,,,
Vermont,100%,0%,30%,0%,58%,2%,1%,4%,3%,0%,0%,0%,1%,,,,,
Virgin Islands,100%,4%,1%,31%,63%,0%,0%,1%,0%,0%,0%,0%,0%,,,,,
Virginia,100%,3%,20%,1%,63%,1%,1%,3%,4%,0%,0%,4%,0%,,,,,
Washington,100%,0%,28%,0%,55%,8%,5%,5%,0%,0%,0%,0%,0%,,,,,
West Virginia,100%,0%,29%,6%,63%,0%,0%,0%,0%,0%,0%,2%,0%,,,,,
Wisconsin,100%,0%,21%,0%,72%,0%,0%,0%,0%,0%,0%,0%,8%,,,,,
Wyoming,100%,0%,17%,16%,52%,2%,1%,6%,5%,0%,0%,0%,0%,,,,,
National Total,100%,0%,11%,6%,65%,2%,2%,6%,3%,0%,0%,3%,1%,,,,,
Notes applicable to this table:,,,,,,,,,,,,,Data as of: 12-JUN-2014 ,,,,,
1. The source for this table is ACF-801 data for FY 2012. ,,,,,,,,,,,,,,,,,,
"2. All percentages are based on ""adjusted"" numbers of families and children, unless otherwise indicated. These ""adjusted"" numbers represent the number funded through CCDF only (which includes Federal Discretionary, Mandatory, and Matching Funds; TANF transfers to CCDF; and State Matching and Maintenance of Effort Funds). The ""adjusted"" number is the raw or ""unadjusted"" number reported by the State multiplied by its pooling factor, as reported on the ACF-800. This report takes this factor into consideration in calculating the ""adjusted"" numbers or percentages.",,,,,,,,,,,,,,,,,,
"3. A ""0%"" indication often means the value is less than 0.5% rather than actually zero.  In a few instances, the sum of the categories may not appear to add up to exactly 100% because of rounding.",,,,,,,,,,,,,,,,,,
"4.  At the time of publication, all States and Territories had submitted the full 12 months of data for FY 2012.  ",,,,,,,,,,,,,,,,,,
"5. Some children are reported to have multiple settings for the same month.  Children in more than one setting category within the same month were counted in each setting in proportion to the number of hours of service received in each setting.  For example, if the child spent 70 hours in a center and 30 hours in a child's home, the child would be scored as 0.7 count in Center and 0.3 count in Child's Home (proportional counting). ",,,,,,,,,,,,,,,,,,
"6. For consistency between related reports involving setting data, children with invalid or missing data for care type, hours, or payment for any setting(s) are reported in the Invalid/Not Reported category.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
