Table 9,,,,,,,,,,,,
Child Care and Development Fund,,,,,,,,,,,,
,,,,,,,,,,,,
Average Monthly Percentages of Children In Care By Age Group (FY 2012),,,,,,,,,,,,
,0 to,1 yr to,2 yrs to,3 yrs to,4 yrs to,5 yrs to,6 yrs to,,Invalid/Not,,,
New Hampshire,4%,11%,15%,17%,18%,13%,22%,0%,0%,100%,,
New Jersey,4%,11%,15%,15%,13%,10%,32%,0%,0%,100%,,
New Mexico,6%,10%,13%,14%,14%,11%,32%,0%,0%,100%,,
New York,5%,9%,12%,16%,14%,9%,36%,0%,0%,100%,,
North Carolina,4%,8%,10%,11%,13%,12%,42%,0%,0%,100%,,
North Dakota,9%,14%,16%,15%,15%,10%,20%,0%,0%,100%,,
Northern Mariana Islands,3%,9%,12%,12%,14%,13%,36%,0%,0%,100%,,
Ohio,6%,11%,13%,14%,14%,11%,32%,0%,0%,100%,,
Oklahoma,7%,12%,15%,15%,13%,10%,27%,0%,0%,100%,,
Oregon,4%,8%,11%,12%,13%,11%,41%,1%,0%,100%,,
Pennsylvania,4%,9%,12%,13%,13%,11%,38%,0%,0%,100%,,
Puerto Rico,2%,6%,14%,18%,19%,9%,28%,3%,0%,100%,,
Rhode Island,4%,9%,11%,13%,13%,11%,39%,0%,0%,100%,,
South Carolina,7%,14%,17%,17%,13%,10%,22%,0%,0%,100%,,
South Dakota,7%,11%,13%,14%,14%,11%,29%,0%,0%,100%,,
Tennessee,6%,12%,14%,15%,13%,10%,30%,0%,0%,100%,,
Texas,6%,11%,14%,15%,13%,10%,31%,0%,0%,100%,,
Utah,4%,9%,11%,13%,13%,12%,38%,0%,0%,100%,,
Vermont,5%,10%,13%,15%,15%,11%,31%,0%,0%,100%,,
Virgin Islands,3%,10%,21%,23%,20%,8%,15%,0%,0%,100%,,
Virginia,4%,11%,14%,15%,12%,10%,33%,0%,0%,100%,,
Washington,4%,9%,12%,14%,14%,11%,36%,0%,0%,100%,,
West Virginia,6%,10%,13%,14%,13%,10%,35%,0%,0%,100%,,
Wisconsin,7%,11%,13%,14%,13%,10%,32%,0%,0%,100%,,
Wyoming,7%,11%,14%,16%,15%,11%,27%,0%,0%,100%,,
National ,5%,10%,13%,14%,14%,11%,33%,0%,0%,100%,,
Notes applicable to this report:,,,,,,,,,,Data as of: 12-JUN-2014 ,,
1. The source for this table is ACF-801 data for FY 2012.,,,,,,,,,,,,
"2. All percentages are based on ""adjusted"" numbers of families and children, unless otherwise indicated. These ""adjusted"" numbers represent the number funded through CCDF only (which includes Federal Discretionary, Mandatory, and Matching Funds; TANF transfers to CCDF; and State Matching and Maintenance of Effort Funds). The ""adjusted"" number is the raw or ""unadjusted"" number reported by the State multiplied by its pooling factor, as reported on the ACF-800.  This report takes this factor into consideration in calculating the ""adjusted"" numbers or percentages.",,,,,,,,,,,,
"3. All States provide an actual unadjusted count of families served each month.  For States reporting full population data, the number of child records reported each month were directly counted.  However, for States that only submit samples, the ratio of children-to-families was determined each month from the samples and then multiplied by the reported number of families to obtain an estimate of the unadjusted number of children served each month.  The unadjusted average number of families and children was obtained from the monthly numbers in the FY, as reported on the ACF-801 summary (header) record. ",,,,,,,,,,,,
"4. A ""0%"" indication often means the value is less than 0.5% rather than actually zero.  In a few instances, the sum of the categories may not appear to add up to exactly 100% because of rounding.",,,,,,,,,,,,
"5.  At the time of publication, all States and Territories had submitted the full 12 months of data for FY 2012. ",,,,,,,,,,,,
6. The Invalid/Not Reported category only includes children with an invalid year/month of birth or report date.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
