Table 11,,,,,,,,,,,,,
Child Care and Development Fund,,,,,,,,,,,,,
,,,,,,,,,,,,,
Average Monthly Percentages of Children by Racial Group (FY 2012),,,,,,,,,,,,,
State,Native,Asian,Black/        African American,Native Hawaiian/ Pacific Islander,White,"Multi-
Racial","Invalid/Not 
Reported",Total,,,,,
Nevada ,1%,2%,33%,1%,54%,2%,6%,100%,,,,,
New Hampshire ,0%,0%,4%,0%,93%,1%,1%,100%,,,,,
New Jersey ,0%,1%,53%,12%,30%,1%,3%,100%,,,,,
New Mexico ,6%,0%,4%,0%,85%,3%,1%,100%,,,,,
New York ,1%,3%,51%,2%,41%,3%,0%,100%,,,,,
North Carolina ,2%,0%,61%,0%,35%,0%,0%,100%,,,,,
North Dakota ,21%,0%,9%,0%,65%,3%,0%,100%,,,,,
Northern Mariana Islands ,0%,24%,0%,8%,0%,1%,66%,100%,,,,,
Ohio ,0%,0%,52%,0%,41%,5%,1%,100%,,,,,
Oklahoma ,6%,1%,29%,0%,59%,6%,0%,100%,,,,,
Oregon ,2%,2%,8%,1%,87%,1%,0%,100%,,,,,
Pennsylvania ,0%,1%,48%,0%,35%,3%,14%,100%,,,,,
Puerto Rico,0%,0%,1%,0%,99%,0%,0%,100%,,,,,
Rhode Island ,0%,0%,6%,0%,11%,1%,82%,100%,,,,,
South Carolina ,0%,0%,34%,0%,16%,2%,48%,100%,,,,,
South Dakota ,19%,0%,5%,0%,66%,9%,0%,100%,,,,,
Tennessee ,0%,0%,73%,0%,27%,0%,0%,100%,,,,,
Texas ,0%,0%,29%,0%,50%,1%,19%,100%,,,,,
Utah ,2%,1%,6%,1%,74%,1%,15%,100%,,,,,
Vermont ,0%,1%,3%,0%,92%,3%,0%,100%,,,,,
Virgin Islands ,3%,0%,97%,0%,1%,0%,0%,100%,,,,,
Virginia ,3%,1%,66%,0%,27%,2%,0%,100%,,,,,
Washington ,2%,2%,10%,16%,36%,0%,34%,100%,,,,,
West Virginia ,0%,0%,11%,0%,73%,14%,2%,100%,,,,,
Wisconsin ,1%,2%,34%,0%,34%,5%,24%,100%,,,,,
Wyoming ,3%,0%,4%,0%,80%,0%,13%,100%,,,,,
National ,1%,1%,42%,1%,43%,3%,8%,100%,,,,,
Notes applicable to this report:,,,,,,,,Data as of: 12-JUN-2014 ,,,,,
1. The source for this table is ACF-801 data for FY 2012.,,,,,,,,,,,,,
"2. All percentages are based on ""adjusted"" numbers of families and children, unless otherwise indicated. These ""adjusted"" numbers represent the number funded through CCDF only (which includes Federal Discretionary, Mandatory, and Matching Funds; TANF transfers to CCDF; and State Matching and Maintenance of Effort Funds). The ""adjusted"" number is the raw or ""unadjusted"" number reported by the State multiplied by its pooling factor, as reported on the ACF-800.  This report takes this factor into consideration in calculating the ""adjusted"" numbers or percentages.",,,,,,,,,,,,,
"3. All States provide an actual unadjusted count of families served each month.  For States reporting full population data, the number of child records reported each month were directly counted.  However, for States that only submit samples, the ratio of children-to-families was determined each month from the samples and then multiplied by the reported number of families to obtain an estimate of the unadjusted number of children served each month.  The unadjusted average number of families and children was obtained from the monthly numbers in the FY, as reported on the ACF-801 summary (header) record. ",,,,,,,,,,,,,
"4. A ""0%"" indication often means the value is less than 0.5% rather than actually zero.  In a few instances, the sum of the categories may not appear to add up to exactly 100% because of rounding.",,,,,,,,,,,,,
"5. At the time of publication, all States and Territories had submitted the full 12 months of data for FY 2012.  ",,,,,,,,,,,,,
6. The multi-racial category includes any child where more than one race was answered Yes (1).  Several States do not capture and report more than one race per child and thus do not provide multi-racial data. ,,,,,,,,,,,,,
"7. The Invalid/Not Reported category includes children where one or more race fields had anything other than a No (0) or Yes (1), blank, null, or space.",,,,,,,,,,,,,
"8. It appears that several States and Territories are still reporting ethnicity (Latino/Hispanic) as a race rather than as an ethnicity in accordance with the Pre-FY 2000 Technical Bulletin 3 standard.  In many of these instances, if a child is designated as Latino, no race is designated.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
