PIN	StateTerryTribe	CommentsA1A1a	CommentsA2	CommentsA3	CommentsA4	CommentsA5	CommentsA7	CommentsA8	CommentsA8b	CommentA9	CommentsSectionA	CommentsB1B2	CommentsB3a	CommentsB3b	CommentsB3c	CommentsB3d	CommentsB3e	CommentsB3f	CommentsB3g	CommentsB3h	CommentsSectionB	CommentsC1	CommentsC1a	CommentsC1b	CommentsC2	CommentsC2b	CommentsC4C5	CommentsC6	CommentsC7	CommentsC10C11	CommentsC12C14	CommentsC14a	CommentsC16a	CommentsC17	CommentsC18	CommentsSectionC	CommentsD1	CommentsD2a	CommentsD3	CommentsD4	CommentsD5	CommentsD6	CommentsD8	CommentsD9	CommentsSectionD	CommentsSectionE	CommentsF1	CommentsF2	CommentsF2a	CommentsF4	CommentsF6	CommentsF7F8	CommentsSectionF
CO2	Colorado	 	 	 	"This task was not done in the most recent market rate survey" equals N/A data was collected through NACCRRAWARE database.	 	 	 	 	State cannot answer for county entities that administer program, with eligibility criteria and provider reimbursment rates set at county level.  the adequacy of rates and proportion of families should vary county to county.	 	There were no responses to questions on this page.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Legislators, state child care resources and referral network, local child care resource and referral agencies, providers, and parents all accessed the information through the website.	Counties set maximum rates on a rolling basis; state does not set rates.	colorado does not set maximum rate payable see F3	No response	 	 	 	 
CT2	Connecticut	Tribes facilities are legally exempt but submit verification of compliance with state licensing standards	 	 	 	Consulted with licensed centers and family home providers and advocates, including a review of the survey instrument	 	Information concerning CT's CCR&R contract is not relevant to the survey	 	Generally, licensed care is not availability to families working evenings and weekends.	The biggest problem is developing a mechanism for measuring accuracy.  Rates advertised by providers vs. those given during the market survey are 10% to 20% lower.	 	 	If they receive subsidy or advertise	 	 	 	 	 	 	 	 	 	 	 	Pilot insturment and methodology developed over period of several years	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Special Needs rates have two levels.  A percent increase in the standard rate, plus specified amounts for identifiable costs.	 	Reported and advertised rate differences are the biggest problem.  How to validate the information reported
DC2	District of Columbia	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Rates are analyzed by enrolled slots and providers; other data is analyzed by provider	Pricing is also analyze annually	providers are asked for the number of hours per day, days per week, and months per year children are in care by age group.	converted to daily, hourly, weekly, monthly, and annual.	 	 	 	 	 	 	 	 	 	Don't know.  A percentage of the licensed family child care rate is our best guess.  The rates have not changed for more than five years, possibly much longer.	 	 
DE4	Delware	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
FL1	Florida	 	 	 	 	 	Additional time and costs associated with local R&R's conducting complete provider updates prior to the statewide data pull associated with this market rate.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	If you have any questions please contact Gerie Nasche @ 850.921.3199.	 	 	 	 	 	 	 	 
GA2	Georgia	 	 	The 2005 MRS has been completed but has not be disseminated yet	Please note the items marked above that were completed by 'Other Contractor' were completed by a State University for the 2005 MRS	 	The total cost for the 2005 MRS was $120,000.00	 	This data pertains to the 2003 MRS	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	The 2005 Market Rate Survey was just recently completed and will soon be disseminated similar to the 2003 MRS	 	Rates adjusted as a result of 2003 Market Rate Survey	 	 	By using data obtained from the market rate survey, however, rates for this group were set lower than rates for licensed and regulated providers	Based on data from the market rate survey, Georgia divides counties into 3 zones.  Rates are set in three zones according to type of care and child's age.	 
GU2	Guam	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Information is gathered from the subsidy computer system.	 	 
HI1	Hawaii	 	 	 	 	 	all numbers are estimates	 	 	 	 	 	 	licensed family child care providers who are not legally exempt	 	 	 	 	 	 	 	collected data via mail and telephone by Resource and Referral Agency	Done by resource and referral agency	 	 	This survey has been used for the past several years.	 	 	 	C10. Mostly hotels, FCC's and after school programs	 	 	For the last question, the respondent didn't have the option to say yes or no to them individually.  Instead answered yes to 'Do these age categories...'	 	 	 	 	 	Don't know is really no response	 	But most report monthly fees	 	 	 	 	 	 	 	 	 	 	 	 
IA	Iowa	 	 	 	 	 	Money was part of overall contract, not a specific line item. Unable to estimate time to update rates or maintain.	 	Overall operations - not just related to data and MRS	 	 	 	 	 	B3c1. Included in total in B3b1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Rate data maintained and updated at all CCR&R contact with provider	 	 	 	 	 	C19.  All of these were available but not collected.  Maybe in N-Ware on some providers, but not all available in survey.  C20.  some of this info might be available in N-Ware (ex-accreditation, etc.) but is not available in survey.	 	 	 	We eliminated Rates for care of children with special needs due to a low response rate, providers concerened re: ADA, etc.	 	 	 	 	 	Providers on ly notified if receiving rate increase.	Will increase again 1/1/2007	9/05 rate increase based on 2002 MRS.  1/07 rate increased on 2004 MRS.	 	Influences but doesn't dictate/mandate.	 	 	 
ID1	Idaho	 	 	 	 	 	 	 	 	Idaho State legislature declares  the licensing 'system is intended to establish minimum standards, while still leaving primary responsibility for evaluation&selectionof daycare with the parents	More about licensing.  Because of the legislative stance, licensing is largly a clerical function, health and safety inspections are required every two years, back ground check are only required for centers.  Providers caring for 6 and fewer children are exempt from any licensing.  Idaho Child Care Program rules are more stringent, but the legislature will not all them to be too much more stringent.	 	 	 	All providers listed in the market survey are from the R&R data base.  Being listed in this data base is dependent upon whether the provider is enrolled as an ICCP provider, wants to participate in the Professional Development System or wishes to receive referrals.  Being in this data base is voluntary so we have no true idea whether or not we are accessing the total provider population.	 	 	 	 	Tribes do not regulate	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IL1	Illinois	 	 	 	Rate data collected and entered at the local CCR&R level	 	The printing is done as part of other Lead Agency projects so we can't provide a cost.	 	These funds support CCR&R parent referral and provider recruitment and listing services, technical assistance, quality support and services administration.	 	We are looking forward to getting some better sense of how to conduct MRS and how to use the data more effectively for creating an equitable rate structure for providers across the state.	 	Sampling frame of all active full time, full year licensed providers who gave current rates. (7838 family homes, 1384 centers)	NOTE: An appendix was added to the current Illinois Market Rate Survey that includes rate infomation for license exempt center and family home child care.	 	 	 	Unknown. Do not track as indicator type in database.	 	 	B3a1- Separate analysis were conducted for school age licensed before/after school care and school age summer care programs. The sampling frames included full time and part time programs and overlapped the sampling frame in B3a1.  (4177 before/after school programs & 5254 summer programs)  B3b- The CCR&Rs have a very small portion of license exempt family home care and some license exempt centers listed.  Total populations of these providers are unknown so they are not included inteh final data set for analysis.	 	 	 	 	 	 	 	For licensed centers and family homes	A number of variables for exclusion affected the actual number of providers excluded from the final data set for rates.  Based on available information, do not feel we can fully answer this question.	 	 	 	 	 	QC20 - The Lead Agency also publishes the "Illinois Salary and Staffing Survey of Licensed Child Care Facilities." This report includes most of the information listed above.	 	Slot unit of analysis is by licensed center and licensed family home.	 	 	 	Market Rate Survey information was used for another report to estimate child care accessibility.  The 'Illinois Child Care Rates Report' is available at www.dhs.state.il.us/ts/ccfs/ccd/childcarereports.asp	 	 	 	 	 	 	 	 	 	 	 
IN2	Indiana	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Only if the provider receives CCDF.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
KS1	Kansas	 	 	 	Kansas used KACCRRA (the R&R Network) data for the 2004 market rate survey because it is rate information that providers give to R&R's for the purpose of receiving referrals and business. This gave us valid data without the expense of a survey or the possible bias created when providers know they are providing information for rate setting at the state level. The audit department in the Lead Agency, Kansas Department of Social and Rehabilitation Services analyzed the data, prepared the survey and the results/report.	 	Unable to provide this information as existing staff was used at both the KACCRRA and state agency & I have no way of factoring out the expense of the time spent on this survey.	 	 	Kansas has not increased provider rates since 2002.  As a result many child care providers, especially centers are no longer serving infants and toddlers receiving subsidy payments.	 	 	Data included only Family Child Care Providers and Child Care Centers.  Preschools and After School Programs were not included in the final rate analysis.	Final dataset included only regulated Family Child Care providers and regulated Child Care Centers.  There were no non-regulated facilities included in the final dataset.	 	 	 	If the facility is regulated by the State through KDHE (Ks Dept of Health and Environment), they are included in the dataset.	 	 	Market rate information is collected from regulated Family Child Care and regulated Child Care Center facilities only.	Kansas has 16 Resource and Referral agencies, each maintaining a database for their SDA.  All regulated providers are listed in their database.	 	 	 	 	 	 	 	The rate information is downloaded by service field.  We have not determined the number of providers who do not respond, only the number per service field who do respond.  The responses may or may not be duplicated by facility.	Full time rates may be entered by hourly, daily, weekly, monthly, or yearly rates.  Part time rates are entered only at an hourly rate.	 	School age care through Family Child Care providers and Child Care Centers are included at an hourly rate and were indicated as full time or part time.  Programs regulated at School Age Programs were not included in the rate information.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Rates paid for Relative care were decreased.	Relative Care	 	 	 	 
KY3	Kentucky	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	No tribal reservations in this state	N/A for this state	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	converted to daily rates per state reimbursement mode	 	 	 	 	 	 	 	 	 	 	 	 
LS1	Louisiana	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	The method has been used in previous surveys.	 	We assume those providers that did not respond chose not to participate because their completed survey was not returned and the survey was not returned as having a bad address. We would not necessarily characterize all providers who did not complete a survey as refusing to participate.	 	 	 	 	 	LA rate for infant and toddler care is higher than other age groups. Rates for all other age groups are the same.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
MA2	Massachusetts	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	All selected providers were sent a worksheet to prepare them for the telephone interview.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
MD1	Maryland	 	Maryland follows the guidance of CCDF requirements	 	 	 	[Total Costs] This figure is included in the full contract for services by the CCR&R agency and is difficult to separate out.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Information on market rate is collected on a continual basis as part of a provider update questionnaire that is sent out annually. About 50% of providers have returned a questionnaire within the current survey year.  All reported fee information is used in the market rate analysis. The questionnaires are distributed and collected by local CCRR's, then forwarded to the state coordinating agency, Maryland Committee for Children, which does all data entry, data maintenance, and analysis and reporting.	 	 	 	 	 	 	This is the date that provider data for fiscal year 7/2004-6/2005 was 'frozen' for analysis.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Our payment rates were set at the 75th percentile of the 2001 market rate survey.  Therefore, due to rising cost of child care, they are now below that percentile based on the 2005 market rate survey (which is the most current one).
ME1	Maine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	used total population of all license providers in state including all tribal programs.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Actual number of full-time children enrolled in each age group; actual number of part-time children enrolled and current full-time (FTE) enrollment is included.  They are also asked what they charge for full-time care for each group and if they provide part-time care, what those rates are.	 	 	 	 	 	 	 	 	 	The results are presented to the Maine Child Care Advisory Council.	 	 	 	 	Preschool age and school age rates are the same	 	Providers are 'held harmless'  meaning that even if the market rates goes down in a category for their county from the last market rate, we do not lower the rate.  We set the mimimum market rate for infants at $140 per week.  Rates for toddlers are lower than infants, preschooler lower than toddlers, etc.
MI1	Michigan	 	 	 	 	 	 	 	 	Have not fully reviewed	 	 	 	 	 	 	 	 	 	 	The sampling methodology from the state's 2002 market rate survey was used in 2005:  random sample of up to 13 providers from each of five provider types (for up to 65 providers per county).	 	 	 	The 2005 survey was a variation of the 2002 survey.	 	The figure in c4b essentially represents the non-responses (i.e., the survey was mailed to the individual but not returned - guess that could be interpreted as a 'refusal to answer').  The figure in c4c includes some (but not all) of the surveys that could not be delivered as addressed.  Basically, we sampled 4,972 and received responses 3,281 (with the working database including 3,173 completed surveys).	The final report for the 2005 market rate survey is completed, pending distribution.	 	 	 	 	Unable to discern the 'no-fee' programs from others in the databse.  This is something to be worked on for the next MRS.	 	 	Again, next time around, we plan on revising the survey to allow the identification of the 'no fee' programs such as 'Headstart' and school readiness programs.	 	 	 	We strictly analyzed rates by full-time and part-time, both hourly and weekly.	d5:  no conversion necessary; we asked for hourly rates, half day rates, full day rates, and weekly rates	We did present rate information at the 75th percentile.	The 2005 analysis was more detailed than the 2002 analysis:  included weekly rate discussion and differentiated between part-time and full-time rates when differences were statistically significant.	The final report has recently been completed (this week); pending distribution.  All comments relate to the 2005 MRS.	 	The final report was recently completed and will be distributed to the legislature and Federal Government shortly.	 	Date unknown 97-98	 	 	Reduced relative payment rates to 65% of the registered family home payment rates.  A statewide rate was established for in-home (in the child's home) care.	Rates were collected from resource and referral databases and counties clustered by similar rates.	 
